Gene,Importance
SDS (10993),0.00069367816
MYORG (57462),0.00069254497
C1S (716),0.0006903881
TMTC3 (160418),0.00068968476
NPL (80896),0.00068846205
ZNF594 (84622),0.00068759866
ORMDL2 (29095),0.0006839112
APLN (8862),0.00068343675
SLC39A12 (221074),0.0006826076
STX12 (23673),0.0006807977
PODXL (5420),0.00067969155
APOC1 (341),0.00067624234
OSGIN2 (734),0.000675274
ZHX2 (22882),0.00067451654
HSD3B7 (80270),0.0006725546
RIGI (23586),0.00066859776
SLC45A3 (85414),0.00066841015
ST6GALNAC3 (256435),0.000665481
PMM2 (5373),0.00066433544
FANCC (2176),0.000664163
CCDC148 (130940),0.0006636012
SELENOM (140606),0.0006625375
CDH19 (28513),0.00066140917
CASK (8573),0.0006601732
KEL (3792),0.0006575782
SLC2A4RG (56731),0.0006551334
ECPAS (23392),0.00065274176
TWSG1 (57045),0.0006524291
CLCF1 (23529),0.0006508482
FSTL3 (10272),0.0006496654
TUBA4A (7277),0.00064669846
DSEL (92126),0.0006457885
NDUFS8 (4728),0.00064371224
PDK2 (5164),0.0006373346
TACR1 (6869),0.0006357221
FUNDC2 (65991),0.0006303695
ZSWIM9 (374920),0.0006281866
RRAS2 (22800),0.0006268759
RASSF7 (8045),0.00062619924
INKA1 (389119),0.00062377297
TGFB3 (7043),0.0006184919
IL32 (9235),0.0006183397
TAFA2 (338811),0.0006180532
HIPK4 (147746),0.0006149269
MAML3 (55534),0.00061322993
LMO2 (4005),0.0006085886
MEAK7 (57707),0.00060681265
TTC7A (57217),0.000605493
MRPS24 (64951),0.0006046998
COL5A1 (1289),0.0006046195
SSX2IP (117178),0.0006041442
CLOCK (9575),0.00060396036
TADA2B (93624),0.00059979275
FLNA (2316),0.00059972936
KRT80 (144501),0.0005951662
AKTIP (64400),0.0005944213
NABP1 (64859),0.0005933307
ZFX (7543),0.0005929351
STK38 (11329),0.0005904457
C16orf86 (388284),0.0005900978
CCDC163 (126661),0.0005872668
PGD (5226),0.0005862863
ATP10B (23120),0.00058268284
CD2AP (23607),0.0005816811
UCN2 (90226),0.00058157486
THY1 (7070),0.0005815032
CEACAM19 (56971),0.00058147963
GCSAML (148823),0.00058105076
ZNF449 (203523),0.0005809676
LIPT2 (387787),0.00057947496
TAL1 (6886),0.00057945086
GOLPH3 (64083),0.0005781508
MXD3 (83463),0.00057486654
HOXC11 (3227),0.0005740143
EDN1 (1906),0.000573471
IFT122 (55764),0.0005733365
SYCE1L (100130958),0.00057323696
DMAP1 (55929),0.00057157275
FBLIM1 (54751),0.00057071814
MAGED4B (81557),0.0005696868
ATF3 (467),0.00056941574
